,,,,,,,,,,,
A,B,C,D,Volume,Area,Area Formula,Volume Formula,Area:Volume Imagem,Peso fora,Densidade Arquimedes,Embriodiagnostico
60.25,46.46,34.15,26.10,67.05,80.49,81.66,68.09,1.20,62.20,1061.12,Nascido
57.50,42.94,30.65,26.85,53.10,70.02,71.42,55.53,1.32,50.80,1043.18,Falecido
60.90,45.30,31.72,29.18,64.12,78.53,79.70,65.43,1.22,63.20,1069.04,Nascido
58.90,46.57,33.21,25.69,63.56,77.64,80.52,66.89,1.22,61.70,1070.90,Falecido
59.29,43.71,31.90,27.39,58.76,74.04,74.74,59.32,1.26,55.30,1077.92,Nascido
58.98,45.94,31.62,27.37,62.91,77.12,79.19,65.19,1.23,57.10,1049.46,Falecido
65.70,45.51,34.39,31.31,69.00,82.90,84.99,71.24,1.20,65.90,1062.49,Nascido
63.82,46.00,34.44,29.39,69.02,82.61,84.22,70.72,1.20,64.70,1072.60,Falecido
61.01,45.88,33.55,27.46,62.95,77.49,81.11,67.23,1.23,60.10,1067.26,Falecido
61.52,45.71,32.40,29.12,65.80,79.84,81.23,67.30,1.21,62.80,1069.53,Nascido
62.08,43.73,36.18,25.89,62.17,77.15,77.58,62.17,1.24,59.80,1071.46,Nascido
57.94,45.91,30.35,27.59,60.78,76.04,78.05,63.94,1.25,59.40,1070.06,Nascido
56.52,43.71,30.63,25.89,55.00,70.43,72.09,56.55,1.28,55.10,1082.48,Falecido
61.31,46.75,32.90,28.41,68.07,81.47,83.32,70.16,1.20,66.80,1082.25,Nascido
61.79,45.46,35.92,25.87,64.37,78.64,81.06,66.86,1.22,61.70,1078.40,Nascido
60.04,45.98,33.15,26.89,64.36,78.43,80.36,66.46,1.22,59.30,1083.91,Nascido
58.69,47.91,29.84,28.85,64.38,78.49,83.14,70.53,1.22,61.40,1082.64,Nascido
55.76,44.21,30.38,25.37,55.56,70.96,72.38,57.07,1.28,54.30,1083.83,Nascido
60.10,44.53,34.94,25.17,60.97,75.89,77.36,62.40,1.24,60.10,1082.67,Nascido
60.75,45.19,33.13,27.62,62.49,77.08,79.35,64.96,1.23,63.40,1081.59,Nascido
62.93,45.63,34.85,28.07,66.24,80.19,82.51,68.61,1.21,64.70,1081.58,Nascido
61.53,47.18,31.25,30.28,68.29,81.39,84.48,71.72,1.19,63.00,1082.17,Falecido
59.76,44.88,34.54,25.22,62.45,76.82,77.77,63.04,1.23,57.00,1083.54,Nascido
57.14,44.53,30.20,26.94,57.55,72.71,74.35,59.32,1.26,55.40,1079.87,Nascido
55.74,43.19,28.62,27.12,53.32,69.07,70.25,54.45,1.30,55.30,1090.70,Nascido
55.66,43.63,27.84,27.82,54.32,69.65,71.06,55.48,1.28,54.80,1082.98,Nascido
56.32,46.27,30.15,26.16,60.49,74.91,77.21,63.14,1.24,54.60,1081.17,Nascido
57.62,44.48,31.87,25.75,58.36,73.23,74.76,59.70,1.25,58.00,1083.97,Falecido
59.54,44.23,30.63,28.91,59.40,74.57,76.06,61.00,1.26,60.00,1075.04,Falecido
58.54,43.60,33.68,24.87,57.05,72.50,73.85,58.27,1.27,56.80,1083.87,Nascido
60.77,46.27,33.02,27.75,67.50,80.82,81.73,68.13,1.20,63.40,1083.45,Falecido
62.09,45.58,33.93,28.16,67.05,80.94,81.54,67.54,1.21,61.40,1082.64,Falecido
58.41,43.63,29.59,28.83,56.01,71.37,73.70,58.22,1.27,55.60,1079.55,Nascido
61.44,45.39,34.87,26.57,64.05,78.23,80.52,66.29,1.22,63.10,1089.51,Nascido
58.66,43.81,30.95,27.71,57.39,72.83,74.31,58.93,1.27,61.20,1081.02,Falecido
63.04,47.10,33.40,29.64,70.34,83.46,85.89,73.23,1.19,66.20,1083.08,Nascido
59.43,47.34,33.24,26.19,65.11,80.02,82.74,69.75,1.23,62.10,1077.84,Falecido
62.12,46.47,33.08,29.04,67.69,81.32,83.52,70.23,1.20,63.40,1079.75,Nascido
58.58,44.45,32.80,25.78,59.08,74.16,75.64,60.60,1.26,56.70,1084.03,Nascido
63.96,46.85,34.98,28.98,71.04,84.14,86.29,73.50,1.18,66.10,1081.44,Nascido
58.93,45.10,33.74,25.19,60.61,75.39,77.41,62.77,1.24,55.60,1077.45,Nascido
54.45,45.17,29.60,24.85,51.66,68.84,73.09,58.19,1.33,53.40,1078.81,Nascido
55.39,43.83,30.95,24.45,53.16,68.93,71.27,55.72,1.30,48.80,1075.11,Falecido
63.47,46.16,33.88,29.59,69.40,82.84,84.21,70.81,1.19,65.80,1076.53,Falecido
60.22,45.67,33.38,26.84,64.34,78.39,79.88,65.78,1.22,62.80,1078.73,Nascido
60.15,44.80,31.94,28.21,61.49,76.30,77.89,63.22,1.24,59.30,1077.99,Nascido
58.77,45.88,31.00,27.77,62.71,77.06,78.82,64.77,1.23,56.60,1077.99,Nascido
56.57,47.27,31.94,24.62,64.39,77.95,79.65,66.18,1.21,57.10,1075.20,Nascido
60.15,45.33,33.24,26.91,62.86,77.38,79.05,64.70,1.23,57.40,1078.82,Falecido
60.81,44.98,34.19,26.62,62.60,77.19,78.98,64.42,1.23,59.40,1077.84,Nascido
57.28,44.91,30.78,26.49,57.89,72.95,75.30,60.49,1.26,56.80,1075.64,Nascido
57.36,43.78,29.43,27.93,55.67,71.26,73.00,57.57,1.28,54.20,1075.38,Nascido
56.34,44.03,32.44,23.90,55.39,70.82,72.63,57.19,1.28,51.10,1082.76,Nascido
58.90,45.82,31.45,27.46,61.08,75.74,78.85,64.76,1.24,55.50,1081.82,Nascido
58.40,46.78,30.10,28.30,60.85,76.59,80.39,66.92,1.26,59.70,1081.32,Nascido
61.54,47.48,31.65,29.88,69.44,82.47,85.15,72.63,1.19,64.30,1080.33,Nascido
63.62,46.52,33.96,29.66,70.47,83.73,85.18,72.09,1.19,67.30,1081.57,Nascido
60.70,43.91,33.89,26.81,59.82,74.79,76.55,61.27,1.25,57.40,1074.77,Nascido
58.15,44.76,32.86,25.29,59.59,74.57,75.90,61.01,1.25,54.70,1076.74,Nascido
64.14,46.55,32.94,31.20,70.25,83.66,85.75,72.76,1.19,63.20,1074.51,Nascido
56.94,44.16,28.60,28.34,50.41,68.04,73.37,58.14,1.35,55.70,1077.30,Falecido
58.81,44.23,32.94,25.87,58.84,73.96,75.41,60.25,1.26,55.40,1077.76,Nascido
59.17,42.63,33.59,25.59,55.49,71.21,72.41,56.31,1.28,53.20,1079.14,Nascido
60.87,45.80,32.44,28.43,64.30,78.57,80.78,66.85,1.22,60.90,1079.54,Nascido
60.57,45.44,33.55,27.02,63.60,78.11,79.72,65.49,1.23,59.30,1077.99,Nascido
61.09,43.95,32.71,28.39,55.65,75.78,77.00,61.80,1.36,55.90,1074.92,Nascido
58.77,44.96,34.90,23.87,57.96,74.50,77.01,62.21,1.29,57.80,1076.20,Nascido
63.30,45.98,35.17,28.14,66.84,80.95,83.68,70.07,1.21,62.60,1084.63,Nascido
56.16,44.13,30.08,26.09,54.57,69.91,72.59,57.27,1.28,53.20,1076.95,Falecido
61.67,44.55,34.98,26.69,63.22,77.94,78.91,64.09,1.23,60.40,1080.27,Nascido
60.16,46.63,32.59,27.57,65.82,79.91,81.89,68.50,1.21,62.80,1084.33,Nascido
58.77,46.68,34.07,24.69,63.48,77.85,80.67,67.06,1.23,60.70,1079.83,Nascido
59.70,44.16,31.12,28.59,57.68,73.10,76.07,60.96,1.27,54.30,1079.51,Nascido
58.99,44.88,34.26,24.72,59.70,74.81,77.02,62.22,1.25,56.60,1075.94,Nascido
58.61,45.03,30.92,27.68,60.89,75.56,76.84,62.21,1.24,59.30,1077.99,Nascido
59.47,46.42,31.10,28.37,64.17,78.02,80.71,67.11,1.22,63.50,1075.94,Nascido
57.31,43.76,30.65,26.66,55.28,70.92,72.92,57.46,1.28,53.10,1081.51,Nascido
57.94,44.64,34.12,23.82,58.95,73.66,75.50,60.46,1.25,54.20,1077.52,Nascido
59.60,46.27,30.45,29.16,61.47,76.56,80.51,66.82,1.25,59.40,1079.80,Nascido
60.90,46.30,33.71,27.18,65.97,79.80,81.93,68.34,1.21,62.70,1078.87,Nascido
61.45,43.39,34.35,27.10,58.78,74.20,76.18,60.59,1.26,58.90,1076.60,Nascido
56.28,44.45,31.03,25.25,56.52,71.79,73.38,58.22,1.27,56.70,1075.79,Nascido
58.00,46.02,32.95,25.05,61.94,76.43,78.42,64.31,1.23,59.90,1077.12,Nascido
58.65,47.03,31.09,27.55,66.18,79.65,81.19,67.92,1.20,61.30,1077.07,Nascido
61.23,44.85,35.54,25.69,60.67,77.67,79.17,64.50,1.28,61.00,1079.40,Falecido
63.98,45.92,34.63,29.35,69.81,83.27,84.22,70.66,1.19,65.90,1079.94,Nascido
61.47,45.42,32.35,29.12,65.07,79.08,80.55,66.41,1.22,63.60,1079.47,Nascido
59.70,44.91,31.85,27.85,61.90,76.28,77.68,63.05,1.23,61.10,1079.25,Nascido
63.36,46.36,32.94,30.42,68.10,81.74,84.54,71.30,1.20,65.90,1083.50,Nascido
58.86,45.03,30.18,28.68,59.89,74.77,77.08,62.48,1.25,56.90,1075.50,Nascido
55.12,43.06,31.47,23.65,49.38,66.09,69.47,53.50,1.34,51.80,1079.26,Nascido
62.17,46.55,32.44,29.73,68.12,81.67,83.73,70.53,1.20,64.60,1079.91,Nascido
56.94,43.64,31.12,25.82,54.86,70.36,72.35,56.79,1.28,53.90,1080.16,Nascido
58.69,44.14,31.62,27.07,58.34,73.41,75.07,59.88,1.26,56.50,1076.09,Nascido
58.22,44.66,31.12,27.10,58.34,73.45,75.69,60.80,1.26,56.30,1078.45,Falecido
59.75,43.69,32.13,27.62,56.38,72.31,75.14,59.73,1.28,57.40,1082.90,Falecido
58.45,41.89,34.12,24.34,53.04,69.15,70.25,53.72,1.30,51.80,1065.91,Nascido
62.72,44.55,34.53,28.19,63.05,77.84,79.90,65.17,1.23,58.10,1069.81,Nascido
59.82,44.20,34.07,25.75,59.75,75.00,76.35,61.19,1.26,56.70,1069.69,Nascido
58.68,44.08,32.47,26.22,56.81,72.37,74.95,59.70,1.27,53.00,1070.73,Nascido
62.34,44.94,33.82,28.51,64.45,79.03,80.39,65.93,1.23,58.10,1060.03,Falecido
64.79,48.67,32.52,32.27,79.00,89.94,91.32,80.37,1.14,69.20,1059.23,Nascido
60.45,46.91,33.87,26.59,66.27,79.70,82.84,69.65,1.20,60.00,1065.48,Nascido
61.50,46.44,34.63,26.87,66.65,80.37,82.88,69.45,1.21,62.90,1076.74,Nascido
58.39,45.36,30.83,27.56,61.08,75.18,77.34,62.90,1.23,60.20,1072.85,Falecido
59.29,45.23,31.92,27.37,60.01,74.94,77.97,63.51,1.25,58.30,1067.59,Nascido
58.18,44.08,31.00,27.18,56.28,72.60,74.44,59.20,1.29,53.80,1069.57,Nascido
61.25,46.62,32.02,29.23,66.78,81.15,82.97,69.72,1.22,60.20,1065.24,Nascido
57.19,46.87,30.75,26.44,63.70,77.84,79.38,65.79,1.22,57.30,1074.91,Nascido
60.43,48.37,32.24,28.18,69.24,83.53,86.00,74.01,1.21,66.70,1070.20,Nascido
59.77,47.98,34.92,24.85,70.57,83.04,84.56,72.03,1.18,65.80,1066.05,Nascido
59.02,43.96,32.15,26.87,57.84,73.21,75.01,59.73,1.27,58.60,1069.16,Nascido
56.77,45.23,32.67,24.10,59.78,74.41,75.55,60.82,1.24,59.90,1069.41,Nascido
61.65,47.07,32.44,29.20,69.27,82.50,84.36,71.51,1.19,64.20,1059.03,Falecido
61.00,48.46,34.38,26.62,73.05,84.95,86.87,75.00,1.16,65.20,1068.47,Nascido
59.25,46.85,29.89,29.36,63.94,78.12,81.41,68.11,1.22,58.60,1067.20,Nascido
60.91,44.98,31.84,29.08,62.48,77.35,79.02,64.52,1.24,60.30,1068.91,Nascido
59.54,45.23,34.92,24.62,62.06,76.57,78.33,63.78,1.23,61.70,1067.19,Nascido
58.00,43.19,29.87,28.14,55.12,70.89,72.40,56.66,1.29,54.00,1069.29,Nascido
62.97,45.79,32.86,30.10,66.09,80.34,82.86,69.13,1.22,62.50,1071.74,Nascido
63.51,48.62,35.07,28.44,76.68,88.09,89.88,78.61,1.15,68.10,1070.30,Nascido
59.04,44.48,32.67,26.37,60.52,75.40,76.15,61.17,1.25,58.30,1063.68,Nascido
57.49,46.44,30.88,26.60,62.86,76.84,78.75,64.92,1.22,59.90,1065.60,Falecido
63.26,44.64,35.70,27.55,63.73,78.28,80.67,66.01,1.23,61.30,1062.11,Falecido
62.19,45.39,35.37,26.82,64.85,78.93,81.28,67.10,1.22,61.30,1062.11,Nascido
63.30,44.98,33.40,29.90,64.95,79.56,81.41,67.07,1.23,61.10,1071.67,Nascido
60.23,46.27,31.49,28.74,65.10,78.83,81.16,67.53,1.21,60.50,1074.36,Nascido
60.42,46.78,31.84,28.58,61.46,77.13,82.46,69.24,1.25,60.40,1068.78,Nascido
62.94,48.62,31.75,31.20,69.65,83.94,89.21,77.89,1.21,71.70,1069.61,Falecido
62.80,46.19,34.29,28.51,60.39,78.29,83.61,70.15,1.30,63.50,1068.68,Falecido
63.14,45.55,35.71,27.43,63.42,79.24,82.57,68.59,1.25,62.00,1063.16,Nascido
57.91,45.30,29.48,28.43,59.36,74.15,76.72,62.22,1.25,56.40,1070.10,Nascido
56.56,45.23,30.56,26.00,58.98,73.78,75.26,60.57,1.25,54.40,1070.83,Nascido
64.05,46.73,33.17,30.88,71.02,84.14,86.08,73.23,1.18,63.30,1072.55,Nascido
58.10,47.84,30.26,27.85,60.16,77.71,82.38,69.61,1.29,61.40,1067.55,Nascido
59.53,45.08,33.93,25.61,57.77,75.80,77.96,63.36,1.31,58.10,1067.84,Nascido
59.90,46.07,33.21,26.69,63.40,77.74,80.43,66.58,1.23,59.20,1070.32,Nascido
58.51,45.62,31.66,26.84,61.73,76.08,78.02,63.75,1.23,58.90,1070.71,Nascido
61.35,45.52,34.71,26.64,64.46,78.68,80.72,66.57,1.22,62.20,1062.94,Nascido
61.79,45.73,34.17,27.62,65.16,79.36,81.58,67.65,1.22,60.30,1068.91,Falecido
60.20,47.12,33.52,26.69,68.22,81.44,83.04,70.00,1.19,60.20,1070.94,Falecido
61.06,47.00,31.67,29.39,63.12,80.55,83.59,70.62,1.28,63.60,1073.99,Nascido
60.19,47.66,30.10,30.09,66.03,79.96,84.15,71.58,1.21,64.20,1069.64,Nascido
60.27,46.46,31.90,28.37,60.42,77.86,81.61,68.12,1.29,60.00,1065.48,Nascido
59.56,46.00,31.42,28.14,64.21,78.21,79.89,65.99,1.22,62.60,1075.30,Nascido
61.97,45.85,33.27,28.71,66.53,80.51,82.00,68.22,1.21,64.70,1070.82,Nascido
60.10,47.04,34.71,25.39,67.45,80.76,82.82,69.65,1.20,63.70,1072.05,Nascido
61.22,46.92,32.37,28.85,68.17,81.19,83.60,70.58,1.19,60.80,1075.86,Nascido
58.90,45.62,29.83,29.08,62.10,76.31,78.39,64.18,1.23,58.60,1075.05,Nascido
58.79,43.46,30.40,28.39,47.98,66.93,73.71,58.15,1.39,55.00,1063.76,Nascido
59.92,46.89,31.85,28.07,65.26,79.02,82.21,69.00,1.21,61.60,1074.77,Nascido
58.97,45.92,31.88,27.09,62.59,76.82,79.14,65.12,1.23,59.50,1077.70,Nascido
58.04,44.98,31.67,26.37,59.62,74.50,76.21,61.49,1.25,57.00,1077.39,Falecido
57.25,46.46,32.88,24.37,58.64,74.94,78.64,64.71,1.28,57.30,1070.89,Nascido
61.01,47.40,33.05,27.96,63.08,78.31,84.46,71.77,1.24,64.40,1072.97,Nascido
64.69,45.57,32.74,31.94,60.46,79.40,84.11,70.35,1.31,65.80,1071.26,Nascido
65.51,47.96,32.88,32.63,72.03,86.18,90.42,78.90,1.20,70.70,1070.69,Nascido
61.87,44.28,35.23,26.64,61.81,76.78,78.52,63.52,1.24,58.50,1063.44,Nascido
59.40,44.83,33.74,25.66,60.36,75.29,77.27,62.50,1.25,58.00,1075.91,Nascido
60.13,44.53,32.94,27.18,60.39,75.43,77.30,62.42,1.25,57.50,1074.63,Nascido
56.29,46.00,30.15,26.14,54.14,72.76,76.62,62.37,1.34,58.80,1072.80,Nascido
59.65,45.87,30.33,29.33,56.51,76.58,79.68,65.72,1.36,61.70,1069.04,Nascido
59.88,48.81,32.47,27.41,73.03,84.99,86.43,74.70,1.16,64.30,1057.19,Nascido
58.47,46.94,32.88,25.59,66.93,80.10,80.88,67.46,1.20,57.40,1068.75,Falecido
58.90,45.08,32.74,26.16,61.48,76.08,77.29,62.67,1.24,57.30,1070.89,Nascido
61.35,45.03,32.94,28.41,64.03,78.46,79.57,65.12,1.23,61.90,1072.50,Falecido
59.48,42.18,34.65,24.84,55.19,71.12,71.79,55.41,1.29,52.30,1060.88,Falecido
59.72,46.66,32.38,27.34,65.73,79.38,81.50,68.07,1.21,59.00,1076.45,Nascido
60.06,47.75,33.92,26.14,69.92,82.57,84.30,71.69,1.18,60.60,1078.05,Nascido
62.72,46.82,33.64,29.08,70.54,83.74,84.92,71.98,1.19,62.80,1071.36,Nascido
61.87,45.23,33.86,28.02,63.84,78.21,80.55,66.26,1.23,59.90,1071.33,Nascido
60.48,44.43,31.12,29.37,60.73,75.72,77.40,62.50,1.25,57.50,1074.63,Falecido
59.93,47.09,33.46,26.46,66.27,79.84,82.70,69.60,1.20,59.10,1072.40,Nascido
57.63,45.33,31.94,25.69,60.84,75.38,76.55,62.00,1.24,54.10,1073.40,Nascido
69.00,47.49,37.87,31.14,70.90,83.46,93.07,81.48,1.18,62.00,1072.37,Nascido
59.67,44.63,32.85,26.82,60.85,75.45,77.08,62.24,1.24,56.00,1064.53,Falecido
61.54,45.73,32.13,29.41,64.68,78.86,81.29,67.38,1.22,59.60,1071.73,Nascido
58.69,44.89,30.84,27.85,60.04,74.70,76.64,61.94,1.24,56.60,1080.05,Nascido
62.78,46.21,33.90,28.89,68.63,82.05,83.63,70.20,1.20,63.00,1069.29,Nascido
60.26,45.13,33.77,26.49,63.51,77.67,78.76,64.27,1.22,57.30,1074.91,Nascido
60.69,46.39,32.34,28.35,59.44,76.81,81.90,68.40,1.29,62.90,1073.06,Nascido
59.42,45.89,29.84,29.59,54.85,72.04,79.51,65.54,1.31,61.30,1080.87,Nascido
64.84,44.23,32.94,31.90,65.57,80.30,81.27,66.43,1.22,64.40,1071.19,Falecido
63.10,46.27,33.19,29.90,64.37,81.98,84.07,70.74,1.27,65.10,1073.88,Nascido
58.91,46.73,33.06,25.85,59.55,81.57,80.86,67.35,1.37,60.30,1072.72,Nascido
61.39,47.36,32.82,28.57,54.55,74.84,84.77,72.11,1.37,64.10,1075.16,Nascido
59.31,45.25,31.67,27.64,56.05,72.80,78.03,63.59,1.30,57.90,1072.06,Nascido
58.42,44.13,33.34,25.09,51.12,69.41,74.84,59.58,1.36,56.60,1073.89,Nascido
56.99,43.94,31.38,25.60,54.58,71.29,73.02,57.62,1.31,57.30,1074.91,Nascido
56.25,45.21,29.90,26.35,59.51,74.12,74.92,60.21,1.25,58.10,1069.81,Falecido
58.96,46.82,29.85,29.11,62.53,77.20,81.04,67.67,1.23,59.90,1069.41,Nascido
58.89,44.76,33.40,25.50,55.65,73.72,76.64,61.79,1.32,57.70,1068.36,Falecido
61.75,44.19,35.15,26.60,62.17,77.04,78.22,63.15,1.24,62.20,1073.97,Nascido
57.06,44.01,29.41,27.66,55.84,71.38,73.18,57.86,1.28,57.60,1072.48,Nascido
59.47,44.18,33.12,26.35,59.56,74.63,75.92,60.76,1.25,58.50,1073.22,Falecido
57.72,44.68,31.38,26.34,54.73,71.38,75.25,60.32,1.30,54.20,1071.12,Nascido
59.45,47.67,30.10,29.35,63.80,78.85,83.42,70.75,1.24,62.40,1073.71,Nascido
61.14,45.94,33.76,27.38,60.48,79.50,81.39,67.57,1.31,60.90,1071.93,Nascido
61.59,44.45,33.58,28.02,61.97,77.04,78.57,63.71,1.24,60.50,1074.36,Nascido
57.94,44.14,31.37,26.57,57.58,72.65,74.34,59.12,1.26,56.70,1073.75,Nascido
60.88,46.61,34.82,26.06,67.65,80.40,82.65,69.26,1.19,64.80,1072.48,Nascido
58.99,46.90,31.25,27.74,64.80,78.74,81.26,67.94,1.22,60.50,1072.45,Nascido
59.29,47.02,29.82,29.47,62.55,78.32,81.82,68.63,1.25,62.10,1070.39,Nascido
60.33,45.25,33.19,27.14,63.84,78.21,79.07,64.69,1.23,61.70,1074.64,Nascido
61.83,47.25,32.17,29.66,69.26,82.36,84.95,72.27,1.19,65.50,1073.38,Nascido
59.04,43.71,33.65,25.39,57.93,73.35,74.56,59.07,1.27,55.90,1074.92,Nascido
59.98,44.68,32.12,27.87,60.75,75.59,77.46,62.69,1.24,57.50,1072.62,Nascido
60.98,45.38,33.49,27.49,63.60,78.53,79.99,65.75,1.23,61.00,1071.80,Nascido
59.58,45.33,32.32,27.26,57.49,74.78,78.48,64.11,1.30,57.30,1074.91,Nascido
56.28,45.94,29.29,26.99,54.53,71.23,76.46,62.19,1.31,55.80,1072.99,Nascido
60.75,46.19,34.63,26.12,63.95,79.66,81.59,67.87,1.25,63.30,1067.12,Nascido
59.35,45.52,33.96,25.39,60.47,75.57,78.73,64.41,1.25,59.50,1073.80,Nascido
62.72,46.53,32.09,30.63,68.69,82.29,84.27,71.11,1.20,63.80,1071.93,Falecido
62.23,46.94,36.13,26.10,68.65,82.06,84.80,71.80,1.20,63.50,1074.12,Falecido
61.97,46.67,31.37,30.60,63.79,78.34,83.80,70.68,1.23,60.80,1073.95,Nascido
58.72,45.58,33.18,25.53,60.36,76.32,78.20,63.87,1.26,58.70,1074.91,Nascido
57.02,43.46,31.38,25.64,53.66,69.66,72.06,56.40,1.30,53.70,1074.00,Falecido
59.38,43.78,32.47,26.91,59.03,74.33,74.98,59.59,1.26,58.60,1069.16,Nascido
59.83,45.25,34.94,24.89,63.53,77.87,78.66,64.15,1.23,61.20,1073.42,Nascido
60.06,48.52,31.90,28.16,70.60,83.18,85.95,74.02,1.18,64.70,1070.82,Falecido
60.70,47.66,31.35,29.35,61.13,78.63,84.69,72.19,1.29,63.10,1072.81,Nascido
59.56,46.00,31.92,27.64,64.89,78.80,79.90,65.99,1.21,60.40,1074.50,Falecido
59.56,44.73,31.67,27.89,60.93,75.76,77.16,62.40,1.24,60.10,1071.07,Nascido
55.47,43.18,29.62,25.85,52.01,68.02,69.97,54.14,1.31,53.50,1074.31,Nascido
58.48,43.93,31.87,26.62,58.32,73.50,74.42,59.09,1.26,57.20,1073.04,Nascido
59.18,46.07,30.20,28.98,62.57,77.06,79.65,65.78,1.23,58.50,1073.22,Nascido
57.20,45.92,33.63,23.57,59.65,74.69,77.49,63.17,1.25,56.40,1072.14,Nascido
59.58,44.75,33.44,26.14,58.06,74.32,77.28,62.48,1.28,58.00,1073.91,Nascido
62.94,44.58,33.49,29.45,63.02,77.94,80.17,65.49,1.24,60.40,1070.68,Nascido
55.57,41.99,31.67,23.90,47.06,66.80,67.73,51.30,1.42,50.60,1076.73,Nascido
61.66,46.50,31.31,30.35,66.28,80.88,83.10,69.81,1.22,66.60,1073.78,Nascido
59.68,45.85,31.72,27.96,64.05,77.93,79.68,65.69,1.22,60.00,1073.12,Nascido
62.99,48.04,32.48,30.51,67.29,82.54,87.96,76.13,1.23,69.10,1072.50,Nascido
60.85,44.70,32.09,28.76,57.13,75.24,78.35,63.65,1.32,59.00,1070.58,Nascido
61.62,47.54,32.44,29.18,69.14,82.88,85.40,72.93,1.20,65.90,1069.40,Falecido
61.35,45.77,31.92,29.43,63.06,77.83,81.19,67.31,1.23,62.60,1071.61,Nascido
59.11,44.53,31.92,27.18,56.77,73.33,76.29,61.36,1.29,58.00,1073.91,Nascido
60.08,45.25,34.69,25.39,57.91,74.39,78.88,64.42,1.28,60.30,1078.48,Nascido
58.75,44.26,31.78,26.97,51.36,69.98,75.37,60.26,1.36,57.40,1072.76,Nascido
58.04,44.98,33.67,24.37,59.53,74.45,76.29,61.49,1.25,57.10,1069.15,Nascido
60.31,44.98,32.90,27.41,61.66,76.33,78.46,63.89,1.24,57.90,1068.10,Nascido
61.10,43.76,33.94,27.16,59.17,74.67,76.61,61.25,1.26,56.30,1068.20,Nascido
62.69,44.58,35.23,27.46,63.31,78.18,79.97,65.23,1.23,60.80,1072.06,Nascido
60.20,45.35,33.27,26.94,62.73,77.25,79.16,64.84,1.23,57.80,1072.20,Nascido
64.02,45.94,35.40,28.62,68.28,82.02,84.31,70.74,1.20,62.90,1076.74,Falecido
62.44,46.64,36.12,26.32,68.04,81.61,84.34,71.13,1.20,64.60,1076.31,Nascido
59.50,46.61,31.13,28.37,64.46,78.32,81.14,67.67,1.22,61.60,1067.31,Nascido
59.56,45.25,33.42,26.14,61.94,76.50,78.32,63.86,1.24,60.70,1064.65,Nascido
57.98,44.69,31.13,26.85,59.93,74.69,75.53,60.64,1.25,59.50,1071.86,Nascido
59.00,45.29,32.94,26.06,60.60,75.55,77.85,63.38,1.25,57.30,1060.95,Falecido
62.14,47.07,32.97,29.18,69.41,82.59,84.88,72.09,1.19,63.50,1075.94,Nascido
59.22,46.17,31.87,27.35,64.17,78.07,79.93,66.11,1.22,59.60,1071.73,Falecido
59.48,44.18,34.13,25.35,59.99,75.02,75.98,60.78,1.25,57.90,1072.06,Nascido
59.11,42.21,32.86,26.25,54.08,70.23,71.46,55.15,1.30,54.80,1070.26,Nascido
59.23,44.18,31.88,27.35,59.70,74.70,75.66,60.53,1.25,59.90,1071.33,Falecido
59.70,46.38,33.77,25.94,65.34,79.25,80.91,67.23,1.21,62.20,1068.43,Nascido
60.43,45.64,35.60,24.82,63.76,77.90,80.12,65.92,1.22,59.10,1074.35,Nascido
55.95,46.52,30.30,25.65,60.26,74.71,77.38,63.41,1.24,57.50,1072.62,Nascido
60.10,44.03,32.69,27.41,59.24,74.55,76.21,61.01,1.26,56.80,1069.55,Nascido
60.38,45.80,33.46,26.91,64.71,78.78,80.31,66.31,1.22,64.00,1069.88,Nascido
62.82,46.25,34.42,28.41,68.73,82.33,83.78,70.37,1.20,68.00,1077.21,Nascido
55.76,44.71,30.88,24.87,56.26,71.40,73.42,58.36,1.27,55.50,1067.23,Falecido
63.29,47.35,33.40,29.89,70.62,83.76,86.70,74.29,1.19,66.00,1071.02,Nascido
58.42,44.64,30.85,27.57,55.72,72.02,75.85,60.97,1.29,57.10,1069.15,Nascido
60.68,43.88,34.10,26.57,60.13,75.17,76.48,61.17,1.25,57.50,1068.62,Falecido
61.15,45.37,32.09,29.07,63.17,77.28,80.11,65.91,1.22,61.70,1070.90,Nascido
60.13,43.53,33.44,26.69,58.22,73.77,75.19,59.66,1.27,57.80,1068.23,Nascido
60.56,47.00,33.92,26.64,68.08,81.25,83.14,70.04,1.19,66.10,1074.39,Nascido
55.67,44.27,28.58,27.09,54.85,70.43,72.38,57.12,1.28,55.20,1069.70,Nascido
61.72,45.92,37.88,23.84,66.75,80.50,82.13,68.15,1.21,63.60,1083.15,Nascido
58.36,44.48,31.84,26.53,57.68,73.08,75.47,60.46,1.27,55.80,1070.93,Nascido
60.25,44.94,32.65,27.60,61.48,76.10,78.31,63.72,1.24,58.50,1055.75,Nascido
60.25,44.94,32.65,27.60,61.75,76.39,78.31,63.72,1.24,59.10,1068.51,Falecido
61.85,46.27,35.96,25.89,66.31,80.34,82.92,69.34,1.21,62.80,1078.73,Nascido
61.31,45.23,32.17,29.14,62.41,77.10,79.96,65.67,1.24,60.10,1072.98,Nascido
59.52,45.21,31.38,28.14,61.73,76.37,78.14,63.70,1.24,57.50,1074.63,Nascido
61.60,46.02,33.42,28.18,66.55,80.35,82.02,68.32,1.21,62.80,1080.59,Nascido
58.04,44.48,30.92,27.12,58.72,73.74,75.14,60.14,1.26,58.00,1067.97,Falecido
